SONA_ID,Condition,WholeHand,BesidesHand,IndexSymmetrical,MiddleSymmetric,Roundness,LeftmostDistance,Coder,index_curve,pinkie_curl
54034,30074,no,no,no,no,no,NA,neekole,5,1
54328,20042,no,no,no,no,no,NA,neekole,6,6
53923,60042,no,no,yes,no,no,36,neekole,2,6
42352,50034,no,no,yes,no,no,36,neekole,3,7
51904,40066,no,no,yes,yes,yes,43,neekole,4,2
43396,30042,no,no,yes,yes,yes,21,neekole,5,6
53167,50074,no,no,yes,yes,yes,26,neekole,3,1
44899,70066,no,no,yes,yes,no,40,neekole,1,2
48769,60058,no,no,yes,no,no,43,neekole,2,4
49558,50074,no,no,no,no,yes,NA,neekole,3,1
54319,70042,no,no,no,no,no,NA,neekole,1,6
43390,40066,no,no,no,no,yes,NA,neekole,4,2
54337,60042,no,no,no,no,no,NA,neekole,2,6
54292,60074,no,no,yes,yes,yes,39,neekole,2,1
54235,60058,no,no,no,no,no,NA,neekole,2,4
42324,20042,NA,NA,NA,NA,NA,NA,clarizza,6,6
53011,50034,no,no,no,no,yes,NA,clarizza,3,7
54295,60050,no,no,no,no,no,NA,clarizza,2,5
45073,30050,no,no,no,yes,no,45,clarizza,5,5
53815,20066,no,no,no,yes,yes,24,clarizza,6,2
32662,30034,no,yes,NA,NA,NA,NA,clarizza,5,7
51424,50066,no,no,no,yes,yes,14,clarizza,3,2
53599,70050,no,no,no,no,no,NA,clarizza,1,5
54142,20034,no,no,yes,no,yes,36,clarizza,6,7
45214,50074,no,yes,NA,NA,NA,NA,clarizza,3,1
49113,60034,no,no,no,no,no,NA,clarizza,2,7
47665,20058,no,no,no,no,yes,NA,clarizza,6,4
43312,40042,no,no,yes,no,yes,38,clarizza,4,6
53578,50042,no,no,yes,no,yes,41,clarizza,3,6
42052,30074,no,no,yes,no,no,40,clarizza,5,1
53383,40074,no,no,no,no,no,NA,clarizza,4,1
48748,30066,no,no,no,yes,yes,18,clarizza,5,2
50266,50074,no,no,no,no,yes,NA,clarizza,3,1
53638,70042,no,no,yes,no,yes,40,clarizza,1,6
53893,60034,no,no,yes,no,yes,43,clarizza,2,7
53299,60058,no,yes,NA,NA,NA,NA,clarizza,2,4
38917,20058,no,no,yes,no,yes,43,clarizza,6,4
49558,50034,no,no,yes,no,no,38,clarizza,3,7
48880,40058,no,no,no,no,yes,NA,clarizza,4,4
49276,70066,no,no,no,yes,no,27,clarizza,1,2
51757,50042,no,no,no,no,yes,NA,clarizza,3,6
52255,60050,no,no,yes,no,yes,43,clarizza,2,5
52120,40034,no,no,no,no,no,NA,clarizza,4,7
48925,20066,no,no,no,yes,yes,22,clarizza,6,2
53005,30034,no,no,yes,no,yes,41,clarizza,5,7
46102,70058,yes,NA,NA,NA,NA,NA,clarizza,1,4
44644,50066,no,no,yes,no,yes,45,clarizza,3,2
47335,30074,no,no,no,no,no,NA,clarizza,5,1
48733,70034,no,no,yes,no,yes,40,clarizza,1,7
48796,30058,no,no,yes,no,no,41,clarizza,5,4
47431,70050,no,no,no,no,no,NA,clarizza,1,5
37915,30050,no,no,no,yes,yes,20,clarizza,5,5
52204,40066,no,no,yes,no,yes,43,clarizza,4,2
46168,40050,no,no,no,no,no,NA,clarizza,4,5
42967,60042,no,no,no,no,no,NA,clarizza,2,6
40543,50034,no,no,yes,no,no,38,clarizza,3,7
50209,40050,no,no,yes,no,no,44,clarizza,4,5
45370,40042,no,no,yes,no,yes,37,clarizza,4,6
47968,20042,no,no,no,no,no,NA,clarizza,6,6
46060,20050,no,no,no,no,no,NA,clarizza,6,5
54229,40034,no,no,yes,no,no,39,clarizza,4,7
NA,50050,no,no,no,no,no,NA,clarizza,3,5
52954,30058,yes,NA,NA,NA,NA,NA,clarizza,5,4
50209,70042,no,no,no,no,no,NA,clarizza,1,6
54178,60074,no,no,yes,no,yes,44,clarizza,2,1
44959,40058,no,no,yes,no,yes,45,clarizza,4,4
53557,60066,no,no,no,no,yes,NA,clarizza,2,2
51757,30050,no,no,yes,no,yes,41,clarizza,5,5
38530,40074,no,no,yes,no,yes,42,clarizza,4,1
49744,60034,no,no,yes,no,yes,40,clarizza,2,7
43771,20074,no,no,no,no,no,NA,clarizza,6,1
50266,50058,no,no,yes,no,yes,45,clarizza,3,4
